Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,17.240000,17.240000,17.240000,17.240000,17.240000,0
1990-01-03,18.190001,18.190001,18.190001,18.190001,18.190001,0
1990-01-04,19.219999,19.219999,19.219999,19.219999,19.219999,0
1990-01-05,20.110001,20.110001,20.110001,20.110001,20.110001,0
1990-01-08,20.260000,20.260000,20.260000,20.260000,20.260000,0
1990-01-09,22.200001,22.200001,22.200001,22.200001,22.200001,0
1990-01-10,22.440001,22.440001,22.440001,22.440001,22.440001,0
1990-01-11,20.049999,20.049999,20.049999,20.049999,20.049999,0
1990-01-12,24.639999,24.639999,24.639999,24.639999,24.639999,0
1990-01-15,26.340000,26.340000,26.340000,26.340000,26.340000,0
1990-01-16,24.180000,24.180000,24.180000,24.180000,24.180000,0
1990-01-17,24.160000,24.160000,24.160000,24.160000,24.160000,0
1990-01-18,24.340000,24.340000,24.340000,24.340000,24.340000,0
1990-01-19,22.500000,22.500000,22.500000,22.500000,22.500000,0
1990-01-22,26.700001,26.700001,26.700001,26.700001,26.700001,0
1990-01-23,24.719999,24.719999,24.719999,24.719999,24.719999,0
1990-01-24,25.389999,25.389999,25.389999,25.389999,25.389999,0
1990-01-25,25.629999,25.629999,25.629999,25.629999,25.629999,0
1990-01-26,26.280001,26.280001,26.280001,26.280001,26.280001,0
1990-01-29,26.440001,26.440001,26.440001,26.440001,26.440001,0
1990-01-30,27.250000,27.250000,27.250000,27.250000,27.250000,0
1990-01-31,25.360001,25.360001,25.360001,25.360001,25.360001,0
1990-02-01,24.870001,24.870001,24.870001,24.870001,24.870001,0
1990-02-02,24.320000,24.320000,24.320000,24.320000,24.320000,0
1990-02-05,24.540001,24.540001,24.540001,24.540001,24.540001,0
1990-02-06,24.690001,24.690001,24.690001,24.690001,24.690001,0
1990-02-07,24.290001,24.290001,24.290001,24.290001,24.290001,0
1990-02-08,23.770000,23.770000,23.770000,23.770000,23.770000,0
1990-02-09,23.690001,23.690001,23.690001,23.690001,23.690001,0
1990-02-12,24.379999,24.379999,24.379999,24.379999,24.379999,0
1990-02-13,23.760000,23.760000,23.760000,23.760000,23.760000,0
1990-02-14,22.049999,22.049999,22.049999,22.049999,22.049999,0
1990-02-15,19.709999,19.709999,19.709999,19.709999,19.709999,0
1990-02-16,20.780001,20.780001,20.780001,20.780001,20.780001,0
1990-02-20,22.780001,22.780001,22.780001,22.780001,22.780001,0
